Search Query,Document containing Frequency(df),Total Documents(N)/ number of documents term appeared(df),Log10(N/df)
Canada,221,700/221,0.5007057663291461
University,92,700/92,0.8813102126687016
Dalhousie University,13,700/13,1.73115468770742
Halifax,66,700/66,1.0255541044723882
Business,58,700/58,1.0816700464513196
