Search_Query,Document_containing_Frequency(df),N/df,Log10(N/df)
Canada,1110,3500/1110,0.49874506556361825
University,465,3500/465,0.8766150914603217
Dalhousie University,65,3500/65,1.73115468770742
Halifax,330,3500/330,1.0255541044723882
Business,295,3500/295,1.0742460283721127
